Theme	Parent	Definition	Example	References
homework vs. play	life choice	A child must choose what is more important to them: boring homework or frivolous play.	Alexander was very much swayed by Lwaxana's arguments for choosing play over homework in tng5x20 "cost of Living".	
honesty	agreeable characteristic	Someone displays notable truthfulness and lack of deceit.		https://en.wikipedia.org/wiki/Honesty
honor	agreeable characteristic	A character steadfastly sticks to a traditional moral code in spite of temptation to do otherwise. It nearly always has to do with being honest and defending ones reputation. It very often involves Klingons.	Worf, being a true man of honor, implored the Klingon authorities to grant honorable deaths to three Klingon renegades whom he had come to respect in tng1x20 "Heart of Glory".	https://en.wikipedia.org/wiki/Honour
hope	pleasant emotion	A character feels that events they wish for may come about.		https://en.wikipedia.org/wiki/Hope
hopeless search vs. to abandon hope	personal practical dilemma	Someone must choose in a search-and-rescue situation, whether and when the better course of action becomes to give up hope.	Captain Kirk and Commissioner Ferris debated whether to keep up the search for the Galileo shuttlecraft in tos1x13 "The Galileo Seven".	
hospitality	agreeable characteristic	Someone is very hospitable towards their guests.	Captain Kirk held a banquet for Khan Singh to welcome the former dictator of Earth to the 23rd century in tos1x24 "Space Seed".	https://en.wikipedia.org/wiki/Hospitality
hubris	disagreeable characteristic	Someone exhibits excessive pride or self-confidence. This theme is typically used when someone gets a little too full of themselves and ends up getting a lesson in humility.	Riker was riding on his high horse after having been granted Q powers in tng1x10 "Hide and Q".	https://en.wikipedia.org/wiki/Hubris
human aspiration	purpose in life	The category of themes that deal with our human hopes and dreams, and the question of what we want out of life.		
human body composition	topic in science	The human body is 65% oxygen, 18% carbon, 10% hydrogen, 3% nitrogen, and 4% other elements as measured by mass.		https://en.wikipedia.org/wiki/Composition_of_the_human_body
human characteristic	human personality	The category of themes that center around character traits, i.e., inborn or acquired attributes that a character may exhibit more or less permanently. "Heroism" and "cowardice" are two illustrative examples.		
human cloning	mind technology	The technology to create new individuals that have the same dna as an original, but not necessarily have anything else in common.		https://en.wikipedia.org/wiki/Human_cloning
human disposition	human personality	The category of themes that center around attitudes one person can have to another or, occasionally, to some thing. "Contempt" and "compassion" are illustrative examples.		
human emotion	human personality	The category of themes that center on those conscious inner mental states that we call emotions. "Rage" and "happiness" are illustrative examples.		https://en.wikipedia.org/wiki/Emotion
human enhancement	novel sci-fi concept	The category of themes that suggest future technology which will enhances the minds and bodies of men and women: plug-in learning adn rejuvenation technology, for example.		
human nature	philosophy	The distinguishing characteristics—including ways of thinking, feeling, and acting—which humans tend to have naturally.		https://en.wikipedia.org/wiki/Human_nature
human need	purpose in life	The category of themes that deal with the things we humans tend to need in order to consider ourselves healthy, content, and fulfilled in life.		
human personality	the human condition	The category of themes that are about individual mental states. They are further subdivided into those that deal with plain dispositions to others, individual emotions, general states of mind, and broader characteristics.		
human pleasure	purpose in life	The category of themes that deal with human passions and pleasures.		
human v2.0	utopia	Society is supposedly made perfect by the introduction of a new breed of human, i.e., version 2.0. Out with the old, in with the new.	Dr. Roger Korby had a dream in tos1x09 "What Are Little Girls Made Of?" that one day mortal human boys and girls will be mind-transfered into the bodies of immortal android boys and girls.	
humanoid evolution	topic in science	The actual past hominid evolution on Earth, and the the hypothetical past or future humanoid-alien evolution in space.		
human rights	values and ethics in society	The category of themes that centre around basic rights we believe should be awarded to all human(oid)s irrespective of political circumstances or differences in nationality, religion, ethnicity, etc.		
humanoid testing	medical ethics	We are asked whether the ends can justify the means when someone tests medical procedures and drugs on patients without their informed consent.		
humility	heavenly virtue	Someone downplays their own abilities or receives a lesson in humility that appears effective.		https://en.wikipedia.org/wiki/Humility
husband and wife	familial relations	The relationship between husband and wife is featured.	Harry Mudd bickered with an android replica of his wife, Stella, in tos2x11 "I, Mudd".	
hydrogen cloud	what's out there	An expansive cloud of hydrogen gas in space.	Jana Haines reported getting fluctuating energy readings on a hydrogen cloud in tos2x17 "The Gamesters of Triskellion".	
hypochondria	pathological state of mind	Someone exhibits an abnormal anxiety about the state of their own health.		https://en.wikipedia.org/wiki/Hypochondriasis
ice age	force majeure existential risk	A planet becomes so cold that glaciers advance and civilization collapses.	The Eymorg civilization had collapsed when they entered an ice age in tos3x06 "Spock's Brain".	https://en.wikipedia.org/wiki/Ice_age
if we adopt the way of the enemy we become the enemy	the art of war	The idea that when fighting for one’s belief one must hold to those beliefs even if the enemy does not, because otherwise the fight is for nothing.	This piece of wisdom was vocalized by the Zeon Isak in tos2x23 "Patterns of Force".	
