Theme	ThemeID	ParentTheme	Tags	RelatedThemes	Definition	Example
the nature of the senses	489	human nature			What in our minds attract us to games of different sorts is pondered.	Data, Troi and Pulaski discussed why we enjoy playing games in tng2x21 "Peak Performance".
the nature of the subconscious	438	human nature			The time tested wisdom that time tested wisdom and history are generally constructed by the winners of conflicts and would possibly look quite different if such conflicts had ended differently.	
the psychology of torture	957	human nature			The human penchant for becoming attached to geographical locations is featured. This is perhaps a nicer way of referring to human territoriality.	
the qualities of a good leader	165	human nature			The human tendency to become attached to a profession and be reluctant to give it up is featured.	Xenophobic miners on Janus VI nearly killed the last alien of a species rather than give up their lucrative livelihood in tos1x26 "The Devil in the Dark".
the reasons for playing games	1447	human nature			The human tendency to build up loyalty to the people in the society we live in for a long time is featured. This is perhaps a nicer way of referring to (ethno-) nationalism.	Ro Larren decided to betray the Federation and side with her own people in tng7x24 "Preemptive Strike".
the winners write history	965	human nature			The human tendency to form strong bonds to ships we are in command of or serve on for some time, is illustrated.	
attachment to one's land	448	human need			It is suggested that humans, in order to feel fulfilled, need some kind of long term challenge to overcome.	
attachment to one's livelihood	1049	human need			It is suggested that humans, in order to feel fulfilled, need some kind of long term purpose to work toward.	
attachment to one's people	1050	human need			We see that humans tend to feel bad about past affairs being left partially unresolved or unknown. We would, e.g., dislike not knowing whether a missing family member is dead or alive.	Geordi found closure in accepting the death of his mother in tng7x03 “Interface” by speaking with an alien entity that had taken on her identity.
captain and crew's attachment to their ship	321	human need			It is illustrated that humans need close friends or life partners etc. in order to feel fulfilled.	
the need for a challenge in life	361	human need			It is illustrated that humans often need to feel they have roots in a culture in order to feel content in life.	
the need for a purpose in life	714	human need			It is suggested that humans do not feel good about being in captivity or otherwise unfree.	
the need for closure	715	human need			It is suggested that humans need some fun and games in order to develop and function normally.	
the need for companionship	362	human need			It is illustrated that lack of privacy, if taken too far, will lead to unhappy and ill-functioning humans.	Miranda was born with the ability to hear thoughts and might have gone insane, in tos3x07 "Is There in Truth No Beauty?", had she not learned how to shut the voices out.
the need for cultural heritage	335	human need			That humans typically need to reproduce and sire offspring in order to feel self-fulfilled is illustrated.	
the need for freedom	187	human need			It is illustrated that humans, in order to function well, need to rest and unwind with amusing activities from time to time.	Captain Picard reluctantly took in a little R&R on Risa in tng3x19 “Captain's Holiday”.
the need for play	717	human need			It is suggested that humans need to feel they have a measure of control over their own destinies if they are to function well.	
the need for privacy	952	human need			The human need to clear their names from perceived accusations or suspicions is featured.	In tos1x12 "The Conscience of the King", Kodos the Executioner justified committing genocide as governor of Tarsus IV to Captain Kirk, saying that it was a matter of life and death.
the need for procreation	576	human need			It is suggested that humans are driven to do something with their lives that is worth remembering at least for someone.	
the need for rest and recreation	439	human need			It is illustrated that humans feel bad if they are not treated with sufficient respect by their fellow humans.	
the need for self-determination	440	human need			It is illustrate that humans in order to be content must feel that they have a meaningful place in society.	
the need for self-vindication	1444	human need			It is illustrated that humans may put high importance on achieving something by their own merits, rather than having it handed to them on a silver plate.	
the need to be remembered	953	human need			It is illustrated that humans, to function well in society, to some extent must maintain an outwards facade that can be quite different from their true inner selves.	Captain Picard took elaborate measured to prevent the crew from learning that he suffered from a heart condition in order to maintain his image in tng2x17 “Samaritan Snare”.
