Theme	ThemeID	ParentTheme	Domain	RelatedThemes	Tags	Definition	Example
hydrogen cloud	619	what's out there	alternate reality			An expansive cloud of hydrogen gas in space.	Jana Haines reported getting fluctuating energy readings on a hydrogen cloud in tos2x17 "The Gamesters of Triskellion".
hypochondria	620	pathological state of mind	the human condition			Someone exhibits an abnormal anxiety about the state of their own health.	
ice age	621	force majeure existential risk	alternate reality			A planet becomes so cold that glaciers advance and civilization collapses.	The Eymorg civilization had collapsed when they entered an ice age in tos3x06 "Spock's Brain".
if we adopt the way of the enemy we become the enemy	622	the art of war	the pursuit of knowledge			The idea that when fighting for one’s belief one must hold to those beliefs even if the enemy does not, because otherwise the fight is for nothing.	This piece of wisdom was vocalized by the Zeon Isak in tos2x23 "Patterns of Force".
ignorance is bliss	623	life lesson	the human condition			The old wisdom that one may be happier not knowing certain things is featured.	
imaginary friend	624	growing up	the human condition		juvenile	A child has a friend who is entirely a figment of their imagination.	Clara’s imaginary friend Isabelle became real thanks to a mischievous incorporeal alien in tng5x22 "Imaginary Friend".
imitativeness	625	disagreeable characteristic	the human condition			Someone is obnoxiously eager to the follow in the example set by others.	Spock described the Sigma Iotians, a.k.a, the space gangsters, as being "extremely intelligent and somewhat imitative" in tos2x20 "A Piece of the Action".
immobilization web	626	fictional apparatus	alternate reality			A spiderweb-shaped force field that prevents you from moving once you step onto it.	The Kzinti immobilized Spock and his landing party with a weaponized form of this technology in tas1x14 "The Slaver Weapon".
immortal secretly living among us	627	crackpot theory	the pursuit of knowledge			The crackpot notion that immortals are living secretly among us run-of-the-mill mortals.	Flint was revealed to be an immortal human who had lived on Earth under various aliases for thousands of years in tos3x21 "Requiem for Methuselah".
imperialism	628	war	society			A faction systematically uses the military in order to subjugate their neighbours and expand their own power.	
imperialistic society	629	social order	society			There is a society that is entirely geared towards military expansion at the expense of neighbouring societies.	
imprisonment without a lawful cause	630	human rights	society	the right to a fair trial	crime and punishment	We are made to ponder what justifications and procedures should be required in order to deprive someone of their freedom.	
incompatible modes of communication	631	problem of language and meaning	society			The trouble two people who use entirely different approaches to communication may face in understanding each other is illustrated.	
incorporeal alien	632	superior life form	alternate reality		aliens	There is a race of beings that don’t have material bodies. They may be electromagnetic patterns, or something entirely beyond our science.	The alien Sargon no longer needed a body at the end of tos2x22 "Return to Tomorrow".
incorporeal point of view	633	views and customs	society			We are shown what things might be like from the point of view of an entity that does not itself have a material body.	Ian, the embodiment of a benign incorporeal entity, saw life on the Enterprise-D through incorporeal eyes in tng2x01 "The Child". Note that Ian literally had eyes, but he viewed through them in a figurative manner.
incurring the wrath of a god-like alien and being wiped clean out of existence	634	extraterrestrial threat	alternate reality		aliens	Your entire race is magicked out of existence because you offended an alien whose powers are so wast they can only be described as magic to you.	A Douwd wiped the Husnock clean out of existence in tng3x03 "The Survivors".
indefinite detention	635	contemporary social issue	society			The ramifications of allowing governments to detain people indefinitely are discussed.	The Romulans had kept Klingon war prisoners from the Khitomer Massacre in a prison camp for many years in tng6x17 "Birthright, Part II".
